1050564115 function calls (1050563297 primitive calls) in 3148.538 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 hashlib.py:55(<module>)
        6    0.000    0.000    0.000    0.000 hashlib.py:91(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 heapq.py:31(<module>)
        1    0.000    0.000    0.022    0.022 inspect.py:25(<module>)
        1    0.000    0.000    0.000    0.000 inspect.py:628(EndOfBlock)
        1    0.000    0.000    0.000    0.000 inspect.py:630(BlockFinder)
        1    0.000    0.000    0.000    0.000 keyword.py:11(<module>)
   215734   65.189    0.000  336.636    0.002 main.py:109(get_essential_literals)
   215734  959.335    0.004 1080.132    0.005 main.py:122(get_clauses_covered_I)
      100    0.393    0.004    1.652    0.017 main.py:13(parse_SAT)
   215734    8.824    0.000    9.701    0.000 main.py:135(get_pruned_matrix)
   215734    0.271    0.000   10.915    0.000 main.py:148(prune_implied)
   215734    0.475    0.000    0.725    0.000 main.py:157(elim)
   215734    2.185    0.000    9.919    0.000 main.py:169(get_implied_rows)
  1578474    5.226    0.000    7.209    0.000 main.py:182(implied)
   351463    0.270    0.000    1.669    0.000 main.py:191(transpose)
        1    0.166    0.166 3148.538 3148.538 main.py:2(<module>)
   215734   14.089    0.000   30.176    0.000 main.py:200(get_greedy_cover)
   351463    0.332    0.000    0.406    0.000 main.py:211(prune_literal)
   215734   35.180    0.000 3048.167    0.014 main.py:224(get_cube_cover)
      100    0.003    0.000    0.003    0.000 main.py:233(print_result)
      100    0.000    0.000    0.096    0.001 main.py:239(get_cur_problem_stream)
      100    3.459    0.035 3146.376   31.464 main.py:245(get_all_sat)
   215734   57.924    0.000 1542.079    0.007 main.py:48(get_ucp_matrix)
116064892 1327.867    0.000 1482.841    0.000 main.py:83(get_ucp_row)
   215734    3.349    0.000 1429.817    0.007 main.py:96(get_essential_literals_and_modify)
    12500    0.029    0.000    0.029    0.000 minisolvers.py:105(new_var)
 24907082   23.283    0.000   23.283    0.000 minisolvers.py:129(nvars)
   269534    6.367    0.000   64.002    0.000 minisolvers.py:145(add_clause)
 24960882   22.071    0.000   49.787    0.000 minisolvers.py:158(<genexpr>)
   215834   26.858    0.000   26.858    0.000 minisolvers.py:169(solve)
   215734    3.510    0.000    4.866    0.000 minisolvers.py:191(get_model)
        1    0.000    0.000    0.002    0.002 minisolvers.py:21(<module>)
        1    0.000    0.000    0.000    0.000 minisolvers.py:247(SubsetMixin)
        1    0.000    0.000    0.000    0.000 minisolvers.py:30(Solver)
        1    0.000    0.000    0.000    0.000 minisolvers.py:315(MinisatSolver)
      100    0.000    0.000    0.045    0.000 minisolvers.py:358(__init__)
        1    0.000    0.000    0.000    0.000 minisolvers.py:362(MinicardSolver)
      100    0.002    0.000    0.045    0.000 minisolvers.py:43(__init__)
        1    0.000    0.000    0.000    0.000 minisolvers.py:441(MinisatSubsetSolver)
      100    0.007    0.000    0.043    0.000 minisolvers.py:48(_setup_lib)
        1    0.000    0.000    0.000    0.000 minisolvers.py:487(MinicardSubsetSolver)
       99    0.006    0.000    0.006    0.000 minisolvers.py:95(__del__)
   485268    0.943    0.000    2.529    0.000 minisolvers.py:99(_to_intptr)
      119    0.000    0.000    0.000    0.000 opcode.py:27(def_op)
